id,idx,category,content
0,023135_1,dresses,连衣裙、黑色、长袖、V领、连衣裙、黑色、纯棉、修身、女性
1,024193_1,dresses,连衣裙、黑色、长袖、V领、礼服、黑色、薄纱面料、修身、女性
2,025203_1,dresses,连衣裙、春季、夏季、休闲风格、长袖、V领、连衣裙、绿色、纯棉、宽松、女性
3,025529_1,dresses,连衣裙、春季、夏季、秋季、休闲风格、短袖、圆领、连衣裙、白色、纯棉、宽松、男女均可
4,025575_1,dresses,连衣裙、连衣裙、绿色、花卉图案、无袖、高腰设计、褶皱领口、收腰设计、A字裙摆
5,025825_1,dresses,连衣裙、夏季、秋季、休闲风格、短袖、圆领、连衣裙、黄色、纯棉、宽松、男女均可
6,027163_1,dresses,连衣裙、长袖、V领、礼服、红色、缎面、修身、女性
7,027655_1,dresses,连衣裙、无袖、V领、无袖连衣裙、黑色、轻质面料、修身、女性
8,029914_1,dresses,连衣裙、长袖、圆领、V领、连衣裙、白色、纯棉、宽松、女性
9,031818_1,dresses,连衣裙、夏季、秋季、正式场合、无袖、吊带式领口、礼服、深蓝色、缎面、修身、女性
10,032261_1,dresses,连衣裙、夏季、V领、短袖、连衣裙、淡粉色、纯棉、宽松、女性
11,033980_1,dresses,连衣裙、连衣裙适合穿着的季节、连衣裙下摆的长度、连衣裙衣袖长度、连衣裙衣领形状、连衣裙的风格、连衣裙表面特殊的log、连衣裙的颜色、连衣裙的版型
12,034293_1,dresses,连衣裙、连衣裙适合穿着的季节、连衣裙下摆的长度、连衣裙衣袖长度、连衣裙衣领形状、连衣裙的风格、连衣裙表面特殊的log、连衣裙的颜色、连衣裙的版型
13,043843_1,dresses,连衣裙、夏季、秋季、休闲风格、无袖、圆领、连衣裙、豹纹、合成纤维、修身、女性
14,046625_1,dresses,连衣裙、无袖、圆领、连衣裙、黑色、无特殊logo、修身版型
15,047455_1,dresses,连衣裙、黑色、连衣裙、短袖、圆领、连衣裙、黑色、纯棉、宽松、女性
16,052007_1,dresses,连衣裙、晚礼服、长袖、低胸露背领、休闲风格、小碎花、黄色、宽松
17,013707_1,lower_body,裤子、白色、破洞设计、紧身、直筒、纯棉、修身、男女均可
18,015384_1,lower_body,裤子、夏季、秋季、休闲风格、长裤、宽松、纯棉、白色、男性
19,015506_1,lower_body,裤子、长裤、正装风格、直筒版型、黑色、纯棉、男性
20,016079_1,lower_body,裤子、夏季、秋季、休闲风格、无袖、圆领、休闲裤、灰色、纯棉、修身、男女均可
21,016158_1,lower_body,裤子、裤子适合穿着的季节、裤子的风格、裤子的长度、裤子的版型、裤子的颜色、裤子的面料、裤子适合穿着的性别
22,016315_1,lower_body,裤子、男性、休闲风格、长裤、宽松、黑色、纯棉、春季、秋季
23,017418_1,lower_body,半身裙、黑色、白色
24,017462_1,lower_body,半身裙、黑色、花卉图案、长袖、A字裙、夏季、宽松、女性
25,019252_1,lower_body,裤子、休闲风格、长裤、修身、纯棉、黑色、男女均可
26,019657_1,lower_body,裤子、黑色、纯棉、修身、男性
27,050422_1,lower_body,裤子、春季、夏季、秋季、冬季、休闲风格、中长裤、直筒版型、米色、纯棉、宽松、男女均可
28,050568_1,lower_body,裤子、长裤、休闲风格、白色、纯棉、宽松、男女均可
29,050594_1,lower_body,裤子、黑色
30,051947_1,lower_body,裤子、春季、夏季、秋季、冬季、休闲风格、短裤、直筒版型、蓝色、纯棉、其他、男女均可
31,001485_1,upper_body,上衣、春季、夏季、休闲风格、长袖、V领、T恤、白色、纯棉、宽松、男女均可
32,003315_1,upper_body,上衣、短袖、圆领、运动风格、迷彩图案、T恤、黑色、灰色、棕色、绿色等多种颜色、纯棉、化纤、尼龙等多种面料、修身版型、男女均可
33,004546_1,upper_body,上衣、短袖、V领、T恤、绿色、纯棉、宽松、男女均可
34,004798_1,upper_body,上衣、夏季、休闲风格、短袖、圆领、T恤、红色、纯棉、宽松、男女均可
35,005000_1,upper_body,上衣、短袖、圆领、T恤、白色、纯棉、宽松、男女均可
36,005339_1,upper_body,上衣、夏季、休闲风格、短袖、圆领、T恤、黑色、纯棉、宽松、男女均可
37,007035_1,upper_body,上衣、黑色、短袖、圆领、T恤、纯棉、宽松、男女均可
38,007157_1,upper_body,上衣、夏季、休闲风格、短袖、圆领、T恤、黑色、纯棉、宽松、男女均可
39,008402_1,upper_body,上衣、休闲风格、长袖、V领、衬衫、棕色、纯棉、宽松、男性
40,010393_1,upper_body,上衣、春季、秋季、休闲风格、中袖、V领、上衣、黑色、纯棉、宽松、男女均可
41,010644_1,upper_body,上衣、春季、秋季、休闲风格、长袖、圆领、T恤、粉色、金色、纯棉、宽松、男女均可
42,011829_1,upper_body,上衣、短袖、圆领、T恤、粉色、纯棉、宽松、男女均可
43,012739_1,upper_body,上衣、夏季、运动风格、短袖、V领、T恤、黑色、纯棉、修身、男女均可
44,013023_1,upper_body,上衣、秋季、休闲风格、长袖、V领、T恤、黑色、白色条纹、纯棉、修身、男女均可
45,048453_1,upper_body,上衣、夏季、秋季、休闲风格、无袖、V领、上衣、黑色、纯棉、宽松、男女均可
46,049497_1,upper_body,上衣、夏季、休闲风格、短袖、圆领、T恤、浅蓝色、纯棉、修身、男性
47,049772_1,upper_body,上衣、无袖、V领、上衣、无图案、纯白色、无特殊面料、宽松版型、男女均可
48,050040_1,upper_body,上衣、夏季、休闲风格、短袖、V领、T恤、蓝色、纯棉、宽松、男女均可
